id,name,type,amount,frequency,day_of_month,category,account,start_date,last_generated
1,OneDrive,expense,10.0,1,4,Subscriptions,,2026-05-08,2026-06-04
2,Deposit,investment,150.0,1,8,Deposit,,2026-05-08,2026-06-08
3,Google One,expense,29.99,12,15,Subscriptions,,2026-09-15,
4,Amazon Prime,expense,49.9,12,2,Subscriptions,,2025-12-02,2025-12-02
5,Polizza Casa e Famiglia,expense,39.33,1,22,Housing,,2026-05-22,2026-05-22
6,NordVPN,expense,200.0,24,26,Subscriptions,,2025-05-26,2025-05-26
7,Ticket Restaurants,income,200.0,1,10,Kineton,EdenRed,2026-06-01,2026-06-10
8,Parking Spot,expense,200.0,1,3,Housing,PayPal,2026-06-01,2026-06-03
9,Cedolino Kineton,income,1950.0,1,10,Kineton,,2026-06-16,
10,Condominio 3rd e 4th rata 2026,expense,612.0,3,1,Housing,,2026-07-01,
